| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| Citraconimide, N-isobutyl | Styrene | 0.07 | 0.14 | 0.326 | 0.094 | Y | 714 |
| Citraconimide, N-isopropyl | Methacrylate, methyl | 0.09 | 0.27 | 2.7 | 0.51 | Y | 714 |
| Citraconimide, N-isopropyl | Styrene | -0.014 | 0.063 | 0.244 | 0.055 | Y | 714 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Citraconimide, a-iso-, N-(4-acetylphenyl)- | Styrene | 0 |  | 0.81 |  |  | 608 |
| Citraconimide, a-iso-, N-(4-chlorophenyl)- | Styrene | 0 |  | 1.03 |  |  | 608 |
| Citraconimide, a-iso-, N-(4-ethoxy-carbonylphenyl)- | Styrene | 0 |  | 0.96 |  |  | 608 |
| Citraconimide, a-iso-, N-(4-methoxy-phenyl)- | Styrene | 0 |  | 0.39 |  |  | 608 |
| Citraconimide, a-iso-, N-(p-tolyl)- | Styrene | 0 |  | 1.69 |  |  | 608 |
| Citraconimide, a-iso-, N-phenyl- | Styrene | 0 |  | 1.76 |  |  | 608 |
| Copper diacrylate | Titanium, dicylopentadienyl-, dimethacrylate | 1.09 |  | 0.89 |  |  | 895 |
| Crotonaldehyde | Vinylidene chloride | 0 |  |  |  |  | 405 |
| Crotonate, hydrocortisone 21- | N-Vinyl pyrrolidone | 0.05 | 0.05 | 0.75 | 0.02 |  | 1022 |
| Crotonate, a-acetyl-, methyl | Styrene |  |  | 2.7 |  |  | 785 |
| Crotonate, a-carboethoxy-, ethyl | Acrylonitrile | 0 |  | 18.7 |  |  | 785 |
| Crotonate, a-carboethoxy-, ethyl | Styrene | 0 |  | 8.24 |  |  | 785 |
| Crotonic acid, cis- | Acrylamide |  |  |  |  | Y | 341 |
| Citraconimide, N-phenyl- | Methacrylate, methyl |  |  |  |  |  |  |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Cyclopentene, 4-,-1,3-dione | Styrene |  |  |  |  | Y | 263 |
| Cyclopropane, 1,1-bis(ethoxycarbonyl)- | Methacrylate, methyl | 0.223 | 0.194 | 4.21 | 0.905 | Y | 1076 |
| 2-vinyl- |  |  |  |  |  |  |  |
| 2-vinyl- |  |  |  |  |  |  |  |
| Diallyl β-cyanoethylisocyanurate | Vinyl acetate | 4.6 |  |  |  | Y | 778 |
| Diallyl, 1,3,5-(2-hydroxy- | Vinyl acetate | 5.5 | 0.15 |  |  |  | 671 |
| 3-phenoxypropyl)isocyanate |  |  |  |  |  |  |  |
| 3-phenoxypropyl)isocyanate |  |  |  |  |  |  |  |
| Diallyldimethylammonium chloride | Vinyl acetate | 1.95 |  | 0.35 |  |  | 1029 |
| Dihydroxydiphenylsulfone diallyl ether | Styrene | 0.92 | 0.16 | 0.975 | 0.015 |  | 1016 |
| Dimethyleneheptanedioate, 2,6-dimethyl- | Methacrylate, methyl | 0.53 | 0.02 | 2.36 | 0.25 | N | 795 |
| Dioxolane, 1,3-,4,4-dimethyl-5-methylene- | Pyrrolidone, N-vinyl- | 0.01 |  | 3.87 |  |  | 647 |
| 2-trichloromethyl- |  |  |  |  |  |  |  |
| Dioxolane, 1,3-,4-methylene- | Acrylamide | 0.037 |  | 8.6 |  |  | 616 |
| Dioxolane, 1,3-,4-methylene- | Pyrrolidone, N-vinyl- | 0.04 |  | 2.98 |  |  | 647 |
| 2-trichloromethyl- |  |  |  |  |  |  |  |
| Diphenylsulfone, 3,3'-bisitaconi- | Methacrylic acid | 0.015 | 0.058 | 0.564 | 0.032 | Y | 1042 |
| mido-m,m'- |  |  |  |  |  |  |  |
| Dithiane, 2-methylene-1,3- | Methacrylate, methyl | 4.12 |  | 0.08 |  |  | 1031 |
| Dithiane, 2-methylene-1,3- | Styrene | 3.35 |  | 0.03 |  |  | 1031 |
| Divinylbenzene, m- | Styrene | 0.58 | 0.04 | 0.58 | 0.15 | N | 262 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Divinylbenzene, p- | Styrene | 1.18 | 0.17 | 0.26 | 0.25 | N | 262 |  |  |  |  |  |  |  |  |
| Ethene, 2-phenyl-1,1-dicyano- | N-Vinylpyrrolidone |  |  |  |  | Y | 947 |  |  |  |  |  |  |  |  |
| Ethylene | Acrylate, butyl | 0.01 | 0.003 | 13.94 | 0.38 | N | 42 |  |  |  |  |  |  |  |  |
| Ethylene | Acrylate, methyl |  |  |  |  | N | 41 |  |  |  |  |  |  |  |  |
| Ethylene | Acrylate, methyl | 0.02 |  | 19.4 |  |  | 768 |  |  |  |  |  |  |  |  |
| Ethylene | Acrylonitrile |  |  | 0 | 7 |  | 415 |  |  |  |  |  |  |  |  |
| Ethylene | Butene-1 | 3.25 |  |  |  |  | 388 |  |  |  |  |  |  |  |  |
| Ethylene | Butene-1 | 3.6 |  | 0.16 |  |  | 407 |  |  |  |  |  |  |  |  |
| Ethylene | Butene-2 | 7.5 |  |  |  |  | 477 |  |  |  |  |  |  |  |  |
| Ethylene | Carbon monoxide | 0.068 | 0.012 | 0.32 | 0.65 | Y | 51 |  |  |  |  |  |  |  |  |
| Ethylene | Carbon monoxide | 0.025 | 0.006 | 0.004 | 0.012 | Y | 52 |  |  |  |  |  |  |  |  |
| Ethylene | Carbon monoxide | 0.04 | 0.01 | -0.15 | 0.07 | N | 52 |  |  |  |  |  |  |  |  |
| Ethylene | Carbon monoxide | 0.5 | 0 |  |  |  | 51 |  |  |  |  |  |  |  |  |
| Ethylene | Ethylene, tetrafluoro- | 0.52 | 0.18 | 0.067 | 0.12 |  | 1093 |  |  |  |  |  |  |  |  |
| Ethylene | Ethylene, tetrafluoro- | 0.575 | 0.09 | 0.065 | 0.027 |  | 1094 |  |  |  |  |  |  |  |  |
| Ethylene | Ethylene, tetrafluoro- | 0.61 |  | 0.02 |  |  | 563 |  |  |  |  |  |  |  |  |
| Ethylene | Ethylene, tetrafluoro- | 0.38 | 0.1 |  |  |  | 563 |  |  |  |  |  |  |  |  |
| Ethylene | Fumarate, diethyl | 0.11 | 1.14 | 1.91 | 3.4 | N | 41 |  |  |  |  |  |  |  |  |
| Ethylene | Maleate, diethyl | 0.25 |  | 10 |  |  | 41 |  |  |  |  |  |  |  |  |
| Ethylene | Maleic anhydride | 0.04 |  | 0 |  |  | 620 |  |  |  |  |  |  |  |  |
| Ethylene | Methacrylate, di-, zinc | 0.19 |  | 40 |  | N | 935 |  |  |  |  |  |  |  |  |
| Ethylene | Methacrylate, methyl |  |  |  |  | N | 41 |  |  |  |  |  |  |  |  |
| Ethylene | Phosphonate, vinyl-, diphenyl | 0.088 | 0.01 | 1.66 | 2.22 | Y | 801 |  |  |  |  |  |  |  |  |
| Ethylene | Phosphonate, vinyl-, bis(2-chloroethyl) | 0.077 | 0.003 | 7.73 | 2.19 | Y | 801 |  |  |  |  |  |  |  |  |
| Ethylene | Phosphonate, vinyl- diisobutyl |  |  |  |  | Y | 801 |  |  |  |  |  |  |  |  |
| Ethylene | Propylene | 3.43 |  |  |  |  | 388 |  |  |  |  |  |  |  |  |
| Ethylene | Propylene | 3.2 | 0.62 |  |  |  | 477 |  |  |  |  |  |  |  |  |
| Ethylene | Styrene | 0.05 |  | 14.88 |  |  | 615 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl acetate | 0.16 | 0.03 | 0.72 | 1.2 | N | 309 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl acetate |  |  |  |  | N | 41 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl acetate | 0.28 | 0.52 | 1.14 | 0.77 | N | 413 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl acetate | 0.88 |  | 1.03 |  | N | 42 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl acetate | 0.74 | 1.52 |  |  |  | 559 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl acetate | 0.67 | 0.03 | 3.74 | 0.64 | N | 68 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl acetate | 0.13 | 0.01 | 1.23 | 0.21 | N | 68 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl acetate | 0.79 | 1.4 |  |  |  | 766 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl butyrate | 0.7 | 1.5 |  |  |  | 605 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl chloride | 0.19 | 0.17 | 1.99 | 0.42 | N | 180 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl chloride | 0.24 | 0.13 | 1.74 | 0.58 | N | 270 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl chloride | 0.34 | 0.13 | 4.38 | 0.44 | N | 42 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl chloride | 0.2 |  | 2 |  |  | 472 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl chloride | 0.21 |  |  |  |  | 536 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl chloride | 0.21 | 0.01 | 1.85 | 0.1 | N | 63 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl chloride | 0.14 | 0.12 | 0.96 | 0.22 | N | 63 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl chloride | 0.23 | 0.01 | 1.63 | 0.22 | N | 64 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl chloride | 0.16 | 0.01 | 1.55 | 0.18 | N | 68 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl diethylphosphinate | 0.15 | 0.16 | -11.99 | 80.64 | Y | 311 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl diphenylphosphinate | 0.05 | 0.01 | -62.84 | 34.66 | Y | 311 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl ethyl ether | 2.7 | 0 |  |  | N | 584 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl fluoride | 2.52 | 0.32 | 0.01 | 0.15 | N | 42 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl fluoride | 1.7 |  | 0.3 |  |  | 590 |  |  |  |  |  |  |  |  |
| Ethylene | Vinyl propionate | 0.67 |  | 1.5 |  |  | 605 |  |  |  |  |  |  |  |  |
| Ethylene | Vinylidene chloride | 0.018 | 0.005 | 15.71 | 1.96 | Y | 299 |  |  |  |  |  |  |  |  |
| Ethylene, 1,1-dichloro-2,2-difluoro | Vinyl acetate | -0.13 | 0.36 | 0.33 | 0.58 | Y | 6 |  |  |  |  |  |  |  |  |
| Ethylene, 1,1-diphenyl- | Acrylate, ethyl | 0.5 | 0.8 |  |  |  | 65 |  |  |  |  |  |  |  |  |
| Ethylene, 1,1-diphenyl- | Acrylate, methyl | 0.24 | 0.15 | 0.09 | 0.01 | N | 334 |  |  |  |  |  |  |  |  |
| Ethylene, 1,1-diphenyl- | Acrylate, methyl | 0.21 | 0.05 | 0.12 | 0.01 | N | 334 |  |  |  |  |  |  |  |  |
| Ethylene, 1,1-diphenyl- | Acrylonitrile | -0.02 | 0.01 | 0.05 | 0.01 | N | 143 |  |  |  |  |  |  |  |  |
| Ethylene, 1,1-diphenyl- | Butadiene, 2,3-dichloro- | -0.08 | 3.58 |  |  | Y | 61 |  |  |  |  |  |  |  |  |
| Ethylene, 1,1-diphenyl- | Butadiene, 2-chloro- | 0.03 |  | 3.4 |  | Y | 61 |  |  |  |  |  |  |  |  |
| Ethylene, 1,1-diphenyl- | Methacrylate, methyl | 0.09 | 2.1 |  |  |  | 65 |  |  |  |  |  |  |  |  |
| Ethylene, 1,1-diphenyl- | Methacrylate, methyl | 0 |  | 8.7 |  |  | 901 |  |  |  |  |  |  |  |  |
| Ethylene, 1,1-diphenyl- | Methacrylonitrile | -0.45 | 0.11 | 0.48 | 0.1 | N | 143 |  |  |  |  |  |  |  |  |
| Ethylene, 1,1-diphenyl- | Styrene | 0.01 | 0.02 | 0.33 | 0.02 | N | 189 |  |  |  |  |  |  |  |  |
| Ethylene, 1,1-diphenyl- | Styrene | -0.02 | 0.01 | 0.34 | 0.01 | N | 281 |  |  |  |  |  |  |  |  |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Acrylamide | Dioxolane, 1,3,4-methylene-2-trichloro- | 8.6 |  | 0.037 |  |  | 616 |
| Acrylamide | Vinyl chloride |  |  |  |  | Y | 156 |
| Acrylamide | Vinylene carbonate | 13.8 |  | 0.05 |  |  | 387 |
| Acrylamide | Vinylmethylphenylsulfonium tetrafluoro | 3.4 |  | 0.1 |  |  | 793 |
| Acrylamide, N,N-dimethyl- | Sulfonate, 2-acrylamido-2-methylpropane | 1.108 | 0.59 | 0.162 | 0.949 | Y | 857 |
| Acrylamide, N-methylol | Vinyl chloride |  |  |  |  | Y | 157 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Ethylene, dichloro-, cis | Vinylidene cyanide |  |  |  |  | Y | 82 |
| Ethylene, dichloro-, cis | Vinylidene cyanide |  |  |  |  | Y | 82 |
| Ethylene, tetrachloro- | Methacrylate, methyl |  |  |  |  | Y | 204 |
| Ethylene, tetrachloro- | Styrene |  |  |  |  | Y | 204 |
| Ethylene, tetrachloro- | Styrene | 200 |  |  |  |  | 204 |
| Ethylene, tetrachloro- | Styrene |  |  |  |  | Y | 40 |
| Ethylene, tetrachloro- | Vinyl acetate |  |  |  |  | Y | 59 |
| Ferrocene, ethyl-α-cyclopentadienylidene | Butadiene | 1.51 |  | 0.02 |  |  | 699 |
| Ferrocene, ethyl-α-cyclopentadienylidene | Isoprene | 1.91 |  | 0.01 |  |  | 699 |
| Formaldehyde-S-vinyl-O-ethylthioacetal | Styrene | 0.32 | 0.24 | 7.75 | 0.68 | Y | 273 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Fumarate, di-(2-(methoxyethyl)) | Styrene | 0.03 |  | 0.35 |  |  | 1038 |
| Fumarate, di-tert-butyl | Fumarate, bis(3-[tris(trimethylsiloxy)silyl)propyl | 0.67 |  | 0.21 |  |  | 1040 |
| Fumarate, diisopropyl | Fumarate, bis(3-[tris(trimethylsiloxy)silyl)propyl | 0.87 |  | 0.07 |  |  | 1040 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Fumaronitrile | Benzothiazole, vinylmercapto- |  |  |  |  | Y | 763 |
| Fumaronitrile | Styrene, α-methyl- | -0.01 | 0.078 | 0.094 | 0.02 | Y Y | 77 77 |
| Fumaryl chloride | Styrene |  |  |  |  | Y | 91 |
| Fumaryl chloride | Vinyl acetate |  |  |  |  | Y | 91 |
| Furan, 2,3-dihydro- | Styrene | 0 |  | 20 |  |  | 806 |
| Hex-3-yne-5-ene, 2-methyl-tert-butyl | Maleic anhydride | 0.36 |  | 0.01 |  |  | 637 |
| Hexatriene, tetrachloro- | Vinyl acetate |  |  |  |  | Y | 4 |
| Imidazole, 1-vinyl |  |  |  |  |  |  |  |
| Triazole, 1-N-vinyl-1,2,4- |  |  |  |  | N | 972 |  |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Isoprene | Ferrocene, ethyl-a-cyclo-pentadienylide | 0.01 |  | 1.91 |  |  | 699 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Isoprene, 3-acetoxy- | Acrylate, methyl | 5.71 |  | 0.27 |  |  | 770 |
| Isoprene, 3-acetoxy- | Methacrylate, methyl | 2.81 |  | 0.16 |  |  | 770 |
| Isoprene, 3-acetoxy- | Styrene | 4.47 |  | 0.34 |  |  | 770 |
| Isopropenyl, 3-(1-cyclohexenyl), acetate | Acrylate, methyl | 0.57 |  | 0.37 |  |  | 770 |
| Isopropenyl, 3-(1-cyclohexenyl), acetate | Methacrylate, methyl | 0.4 |  | 0.81 |  |  | 770 |
| Isopropenyl, 3-(1-cyclohexenyl), acetate | Styrene | 0.56 |  | 1.59 |  |  | 770 |
| Isopropenyl-, p-, phenol glycidyl ether | Maleic anhydride | 0.003 |  | 0.002 |  |  | 937 |
| Isopropenylacetophenone, p- | Styrene | 0.84 | 0.59 | 0.3 | 0.18 | Y | 266 |
| Isopropylidene, 2,3:4,5-di-O-, -1-vinylbenzyl-β-D-fructose | Styrene | 3.26 | 1.12 | 0.14 | 0.055 | Y | 772 |
| Monomer 1 | Monomer 2 | rx | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Itaconamate, N-phenyl-, methyl | Styrene | 0.52 | 0.31 |  |  |  | 1059 |
| Itaconate, bis(2-ethylhexyl) | Maleimide, N-cyclohexyl- | 0.38 | 0.34 |  |  |  | 1060 |
| Itaconate, bis(tri-n-butyltin) | Acrylate, 2-chloroethyl | 0.391 | 0.683 | 940 |  |  | 940 |
| Itaconate, bis(tri-n-butyltin) | Acrylate, butyl | 0.422 | 0.91 | 940 |  |  | 940 |
| Itaconate, bis(tri-n-butyltin) | Methacrylate, allyl | 0.038 | 1.08 | 940 |  |  | 940 |
| Itaconate, bis(tri-n-butyltin) | N-Vinylpyrrolidone | 0.065 | 0.04 | 0.21 | 0.013 | Y | 941 |
| Itaconate, di-2[-2(2-methoxyethoxy)-ethoxy]ethyl | Styrene | 0.2 | 0.015 | 0.53 | 0.022 |  | 1098 |
| Itaconate, dimenthyl | Vinyl acetate |  |  |  |  | Y | 975 |
| Itaconate, dimethyl | Styrene |  |  |  |  |  | 39 |
| Itaconic acid mono(p-sulfamidoanilide) | Methacrylate, propargyl | 0.58 | 0.05 | 1.65 | 0.02 |  | 957 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 6-methylphenyl- |  |  |  |  |  |  |  |
| Malemic acid, N-3-dimethylamino- | Styrene | -0.19 | 0.03 | 0.55 | 0.03 | N | 679 |
| 6-methylphenyl- |  |  |  |  |  |  |  |
| Maleate, diethyl | Styrene |  |  |  |  | Y | 14 |
| Maleate, diethyl | Styrene | 0.07 |  | 8 |  |  |  |
| Maleate, diethyl | Styrene | 0.001 |  | 6.592 |  |  |  |
| Maleate, diethyl | Vinyl chloride | 0.046 | 0.07 | 0.9 | 0.11 | Y |  |
| Maleate, diethyl | Vinylidene chloride | 12.5 |  |  |  |  | 3 |
| Malemic acid, N-3-dimethylamino- | Butadiene | -0.08 | 0.03 | 0.37 | 0.04 | N | 679 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Maleic Anhydride | Isopropenyl-, /?-, phenol glycidyl ether | 0.002 |  | 0.003 |  |  | 937 |
| Maleic anhydride | Acrylate, ferrocenylmethyl |  |  |  | 2.96 | Y | 325 |
| Maleic anhydride | Allylbenzene |  |  |  |  | Y | 351 |
| Maleic anhydride | Benzocyclobutane, oc-methylene- | 0.025 |  | 0.002 |  |  | 1083 |
| Maleic anhydride Maleic anhydride | Benzothiazole, vinylmercapto- Butadiene monoxide | 0.64 | 0.06 | 0.05 | 0.18 | Y | 763 1064 |
| Maleic anhydride | Carbamate, AUV-diethyl-, vinyl | 0.025 | 0.034 | 0.024 | 0.066 | Y | 92 |
| Maleic anhydride Maleic anhydride | Divinylbenzene, p- Ethylene | 0.09 0 | 0.01 | 0.01 0.04 | 0.01 |  | 943 620 |
| Maleic anhydride | Hex-3-yne-5-ene, 2-methyl-terf-butyl- | 0.01 |  | 0.36 |  |  | 637 |
| Maleic anhydride | peroxide Isobutylene | 0.065 |  | 0.012 |  |  | 988 |
| Maleic anhydride | Methacrylate, ferrocenylmethyl | 0.24 | 0.28 | 0.33 | 0.65 | Y | 325 |
| Maleic anhydride | Methacrylate, di-, di-rc-butylstannyl | 0.024 | 0.008 | 0.012 | 0.016 | Y | 954 |
| Maleic anhydride | Methacrylate, benzyl |  |  |  |  | Y | 720 |
| Maleic anhydride | Methacrylate, benzyl | 0.372 | 0.093 | - 0.075 | 0.088 | Y | 720 |
| Maleic anhydride | Styrene |  |  |  |  | N | 923 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Maleic anhydride | Vinylidene cyanide |  |  |  |  | Y | 82 |
| Maleic anhydride, a-chloro- | Styrene | 0 | 0.07 |  |  |  | 845 |
| Maleimide | Piperidinol, 4-, N-methyl- | 0.49 | 0.01 | 2.05 | 0.03 |  | 948 |
| Maleimide | 4-(vinylethynyl)- |  |  |  |  |  |  |
| a-chloro- | Styrene | 0.022 | 0.041 | 0.059 | 0.021 | Y | 973 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Maleimide, N-(4-methoxyphenyl)-a-chloro- | Methacrylate, methyl | 0.064 | 0.189 | 0.556 | 0.145 | Y | 973 |
| Maleimide, N-(4-methoxyphenyl)-a-chloro- | Styrene | 0.049 | 0.061 | 0.112 | 0.031 | Y | 973 |
| Maleimide, N-(4-methylphenyl)- | Methacrylate, methyl | 0.34 | 0.83 |  |  |  | 992 |
| Maleimide, N-(β-chloroethyl)-a-chloro- | Methacrylate, methyl | 0.05 | 0.04 | 0.94 | 0.06 |  | 974 |
| Maleimide, N-(β-chloroethyl)-a-chloro- | Methacrylate, methyl | 0.11 | 0.05 | 0.59 | 0.06 |  | 974 |
| Maleimide, N-(β-chloroethyl)-a-chloro- | Styrene | 0 | 0.06 | 0.29 | 0.05 |  | 974 |
| Maleimide, N-(L-menthoxycarbonylmethyl)- | Maleimide, N-benzyl | 0.848 | 0.221 | 0.474 | 0.087 | Y | 1089 |
| Maleimide, N-(L-menthoxycarbonyl- | Maleimide, N-phenyl- | 0.79 | 0.261 | 0.798 | 0.141 | Y | 1089 |
| methyl)- |  |  |  |  |  |  |  |
| Maleimide, N-[N'-α-methylbenzyl) | Methacrylate, methyl | 0.582 | 0.359 | 1.37 | 0.291 | Y | 1099 |
| aminocarbonylpentyl]- |  |  |  |  |  |  |  |
| Maleimide, N-[N'-α-methylbenzyl) | Styrene | 0.258 | 0.25 | 0.198 | 0.143 | Y | 1099 |
| aminocarbonylpentyl]- |  |  |  |  |  |  |  |
| Maleimide, N-[N'-α-methylbenzyl) | Styrene |  |  |  |  | Y | 1099 |
| aminocarbonylpentyl]- |  |  |  |  |  |  |  |
| Maleimide, N-allyl- | Styrene | 0.035 | 0.056 |  |  |  | 1003 |
| Maleimide, N-benzyl- | Maleimide, N-(L-menthoxycarbonyl- | 0.474 | 0.087 | 0.848 | 0.221 | Y | 1089 |
|  | methyl)- |  |  |  |  |  |  |
| Maleimide, N-butyl- | Styrene |  |  |  |  | Y | 115 |
| Maleimide, N-chloromethyl- | Butadiene, 2,3-bis(diethyl-phosphono)- | 0.3 | 0.05 |  |  |  | 759 |
| Maleimide, N-cyclohexyl- | Methacrylate, methyl | 0.24 | 1.35 |  |  |  | 992 |
| Maleimide, N-cyclohexyl- | Acenaphthalene | 0.11 | 0.57 |  |  |  | 1039 |
| Maleimide, N-cyclohexyl- | Butene, cis-2- | 0 | 3 |  |  |  | 995 |
| Maleimide, N-cyclohexyl- | Isobutene | 0 | 0.41 |  |  |  | 995 |
| Maleimide, N-cyclohexyl- | Methacrylate, methyl | 0.19 | 1.31 |  |  |  | 1100 |
| Maleimide, N-cyclohexyl- | Styrene | 0.1 | 0.102 |  |  |  | 1100 |
| Maleimide, N-cyclohexyl- | Isooctene | 0 | 0.72 |  |  |  | 995 |
| Maleimide, N-phenyl- | Butadiene, 2,3-bis(diethyl-phosphono)- | 0.42 | 0.05 |  |  |  | 759 |
| Maleimide, N-phenyl- | Maleimide, N-(L-menthoxycarbonyl- | 0.798 | 0.141 | 0.79 | 0.261 | Y | 1089 |
|  | methyl)- |  |  |  |  |  |  |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Acrylamido, 1-,-1-deoxy-D-glucitol | Methacrylate, methyl | 0.05 | 0.09 | 3.75 | 0.24 | N | 258 |
| Acrylamido, 1-,-1-deoxy-D-glucitol | Styrene | 0.03 | 0.02 | 2.42 | 0.08 | N | 258 |
| Acrylamido, 1-,-1-deoxy-D-glucitol | Vinyl acetate | 0.98 | 0.87 | 0.03 | 0.17 | N | 258 |
| Acrylamido, 2-,-2-methylpropanesulfonic acid | Methacrylate, 2-hydroxyethyl | 0.9 | 0.86 |  |  |  | 618 |
| Acrylamido, 2-,-2-methylpropanesulfonic acid | Methacrylate, 2-hydroxypropyl | 1.03 | 0.89 |  |  |  | 618 |
| Acrylamido-2-methylpropane sulfonate sodium salt | N-Vinylpyrrolidone | 0.66 | 0.13 |  |  |  | 939 |
| Acrylamidomethylamino, p-, azobenzene | Styrene | 8.5 | 0.083 |  |  |  | 858 |
| Acrylamidomethylamino, p-, azobenzene | Vinyl acetate | 12.98 | 0.126 |  |  |  | 858 |
| Acrylate, (-)-menthyl | Acenaphthalene |  |  |  |  | Y | 645 |
| Acrylate, 1,1,5-trihydroperfluoroamyl | Methacrylonitrile | 0.14 | 1.03 |  |  |  | 809 |
| Acrylate, 2,3-dibromopropyl | Styrene | 0.16 | 0.42 |  |  |  | 643 |
| Acrylate, 2,4,6-tribromophenyl | Styrene | 0.1 | 0.2 |  |  |  | 643 |
| Acrylate, 2,4-dinitrophenyl | Acrylate, N-(2-hydroxyethyl)-carbazolyl | 0.158 | 0.015 | 0.109 | 0.026 | Y | 716 |
| Acrylate, 2,4-dinitrophenyl | Methacrylate, N-(2-hydroxyethyl)-carbazolyl | 0.186 | 0.009 | 0.243 | 0.034 |  | 716 |
| Acrylate, 2-chloroethyl | Acrylate, ethyl | 1.03 | 0.9 |  |  |  | 726 |
| Acrylate, 2-chloroethyl | Acrylate, methyl | 1.07 | 0.9 |  |  |  | 726 |
| Acrylate, 2-chloroethyl | Acrylonitrile | 0.87 | 1.03 |  |  |  | 790 |
| Acrylate, 2-chloroethyl | Itaconate, bis(tri-n-butyltin) | 0.683 | 0.391 |  |  |  | 940 |
| Acrylate, 2-chloroethyl | Methacrylate, methyl | 0.37 | 2.15 |  |  |  | 790 |
| Acrylate, 2-chloroethyl | Pyrrolidone, N-vinyl- | 0.52 | 0.03 |  |  | Y | 140 |
| Acrylate, 2-chloroethyl | Styrene | 0.12 | 0.54 |  |  |  | 790 |
| Acrylate, 2-chloroethyl | Vinyl butyl ether | 2.01 | 0 |  |  |  | 790 |
| Acrylate, 2-chloroethyl | Vinyl isobutyl ether | 2.24 | 0 |  |  |  | 790 |
| Acrylate, 2-chloroethylglucitol | Styrene | 0.14 | 0.09 | 0.49 | 0.2 |  | 806 |
| Acrylate, 2-cyano-, methyl | Styrene, a-methyl- | 0.001 | 0.05 |  |  |  | 452 |
| Acrylate, 2-cyano-, methyl | Vinyl acetate | 0.5 | 0.005 |  |  |  | 452 |
| Acrylate, 2-ethylhexyl | Styrene | 0.26 | 0.94 |  |  |  | 463 |
